"Squad","Player","Cmp_Total","Att_Total","Cmp_percent_Total","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP"
"Arsenal","Riccardo Calafiori",353,436,81,0.5,0.2,1.5,4,24,5,2,32
"Arsenal","Max Dowman",4,4,100,0,0,0,0,0,0,0,0
"Arsenal","Eberechi Eze",174,205,84.9,0.8,0.9,1.2,4,11,7,1,29
"Arsenal","Viktor Gyökeres",68,112,60.7,1,0.7,-1,8,4,5,0,11
"Arsenal","Kai Havertz",5,9,55.6,0,0,0,0,0,0,0,2
"Arsenal","Piero Hincapié",11,13,84.6,0,0,0,0,1,0,0,1
"Arsenal","Myles Lewis-Skelly",56,62,90.3,0,0,0,0,2,0,0,2
"Arsenal","Noni Madueke",73,122,59.8,0.8,0.8,-0.8,8,0,7,1,9
"Arsenal","Gabriel Magalhães",575,638,90.1,1.3,0.7,0.7,3,31,1,0,36
"Arsenal","Gabriel Martinelli",23,39,59,0.1,0.1,-0.1,2,2,1,0,5
"Arsenal","Mikel Merino",99,127,78,0.1,0.2,-0.1,3,12,5,0,14
"Arsenal","Cristhian Mosquera",179,198,90.4,0.1,0.1,-0.1,1,5,0,0,6
"Arsenal","Ethan Nwaneri",78,88,88.6,0,0.1,0,1,8,2,0,13
"Arsenal","Christian Nørgaard",5,7,71.4,0,0,0,0,0,0,0,1
"Arsenal","David Raya",251,356,70.5,0.1,0.1,-0.1,1,24,1,0,4
"Arsenal","Declan Rice",548,648,84.6,1.7,2,0.3,16,50,9,2,64
"Arsenal","Bukayo Saka",167,238,70.2,1.6,2.1,-1.6,15,2,12,2,13
"Arsenal","William Saliba",596,635,93.9,0.1,0.4,-0.1,1,29,1,0,33
"Arsenal","Jurriën Timber",362,428,84.6,0.6,0.7,0.4,11,40,14,1,53
"Arsenal","Leandro Trossard",161,234,68.8,0.6,0.8,1.4,8,12,11,2,21
"Arsenal","Ben White",21,27,77.8,0,0,0,1,5,0,0,4
"Arsenal","Martín Zubimendi",558,631,88.4,0.7,0.9,-0.7,7,47,6,0,57
"Arsenal","Martin Ødegaard",111,140,79.3,0.5,0.8,0.5,3,19,9,0,26
"Aston Villa","Ross Barkley",21,24,87.5,0,0,0,1,2,1,0,6
"Aston Villa","Marco Bizot",46,67,68.7,0,0,0,0,0,0,0,1
"Aston Villa","Lamare Bogarde",148,157,94.3,0,0.1,0,2,14,1,0,8
"Aston Villa","Emi Buendía",117,145,80.7,0.5,0.7,1.5,7,14,9,0,24
"Aston Villa","Matty Cash",417,533,78.2,0.7,0.7,-0.7,8,39,7,2,38
"Aston Villa","Lucas Digne",272,374,72.7,0.7,1.1,1.3,9,15,9,5,17
"Aston Villa","Harvey Elliott",53,62,85.5,0,0.1,0,0,6,1,1,5
"Aston Villa","Evann Guessand",58,83,69.9,0,0.5,0,1,2,4,0,8
"Aston Villa","Boubacar Kamara",304,339,89.7,0.4,0.4,1.6,6,37,5,0,38
"Aston Villa","Ezri Konsa",543,573,94.8,0,0.1,0,1,37,1,0,28
"Aston Villa","Victor Lindelöf",9,11,81.8,0,0,0,0,1,0,0,2
"Aston Villa","Ian Maatsen",130,159,81.8,0.3,0.2,-0.3,5,16,4,1,19
