"Squad","Player","Starts_Playing","Min_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per"
"Arsenal","Riccardo Calafiori",9,695,1,2,3,1,0,0,1.9,1.9,0.5,2.4,16,30,31,0.13,0.26,0.39,0.13,0.39,0.25,0.06,0.31,0.25
"Arsenal","Max Dowman",0,29,0,0,0,0,0,0,0.1,0.1,0,0.1,4,0,6,0,0,0,0,0,0.43,0,0.43,0.43
"Arsenal","Eberechi Eze",5,460,1,2,3,1,0,0,1.2,1.2,0.8,1.9,13,25,32,0.2,0.39,0.59,0.2,0.59,0.23,0.15,0.38,0.23
"Arsenal","Viktor Gyökeres",9,755,3,0,3,2,1,1,3.7,2.9,0.3,3.2,6,8,46,0.36,0,0.36,0.24,0.24,0.44,0.03,0.47,0.35
"Arsenal","Kai Havertz",0,31,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0
"Arsenal","Piero Hincapié",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arsenal","Myles Lewis-Skelly",0,91,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0
"Arsenal","Noni Madueke",4,304,0,0,0,0,0,0,0.3,0.3,0.8,1.1,18,9,44,0,0,0,0,0,0.09,0.25,0.34,0.09
"Arsenal","Gabriel Magalhães",9,810,1,1,2,1,0,0,0.8,0.8,0.4,1.2,6,34,1,0.11,0.11,0.22,0.11,0.22,0.09,0.05,0.14,0.09
"Arsenal","Gabriel Martinelli",2,220,1,0,1,1,0,0,0.8,0.8,0.1,0.9,7,5,10,0.41,0,0.41,0.41,0.41,0.32,0.05,0.37,0.32
