"Squad","Player","Starts_Playing","Min_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","Cmp_Total","Att_Total","Cmp_percent_Total","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Tkl_Tackles","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Err","Fls","Fld","Off","Crs","Won_Aerial","Lost_Aerial","Won_percent_Aerial","GA","GA90","SoTA","Saves","Save_percent","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"Arsenal","Riccardo Calafiori",10,766,1,2,3,1,0,0,2,2,0.5,2.5,19,32,37,0.12,0.23,0.35,0.12,0.35,0.23,0.06,0.29,0.23,1,18,2,11.1,2.11,0.23,0.06,0.5,15,353,436,81,0.5,0.2,1.5,4,24,5,2,32,13,9,6,4,17,27,0,12,7,2,14,14,13,51.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Max Dowman",0,29,0,0,0,0,0,0,0.1,0.1,0,0.1,4,0,6,0,0,0,0,0,0.43,0,0.43,0.43,0,3,0,0,9.31,0,0,NA,17.3,4,4,100,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Eberechi Eze",6,531,1,2,3,1,0,0,1.3,1.3,0.8,2.1,14,29,33,0.17,0.34,0.51,0.17,0.51,0.22,0.13,0.35,0.22,1,15,5,33.3,2.54,0.85,0.07,0.2,17.6,174,205,84.9,0.8,0.9,1.2,4,11,7,1,29,6,4,3,1,7,3,0,3,9,1,4,5,6,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Viktor Gyökeres",10,800,4,0,4,3,1,1,4.6,3.8,1,4.8,8,11,51,0.45,0,0.45,0.34,0.34,0.51,0.12,0.63,0.42,4,19,7,36.8,2.14,0.79,0.16,0.43,10.7,68,112,60.7,1,0.7,-1,8,4,5,0,11,2,2,5,0,2,7,0,9,11,2,3,16,26,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Kai Havertz",0,31,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,5,9,55.6,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,2,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Piero Hincapié",0,28,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,11,13,84.6,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Myles Lewis-Skelly",0,92,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,56,62,90.3,0,0,0,0,2,0,0,2,1,1,2,1,2,3,0,4,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Noni Madueke",4,304,0,0,0,0,0,0,0.3,0.3,0.8,1.1,18,9,44,0,0,0,0,0,0.09,0.25,0.34,0.09,0,5,2,40,1.48,0.59,0,0,13.3,73,122,59.8,0.8,0.8,-0.8,8,0,7,1,9,3,2,2,1,4,0,0,5,4,0,26,3,2,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Gabriel Magalhães",10,900,1,2,3,1,0,0,0.8,0.8,1.3,2.1,6,36,1,0.1,0.2,0.3,0.1,0.3,0.08,0.13,0.21,0.08,1,8,1,12.5,0.8,0.1,0.13,1,10.9,575,638,90.1,1.3,0.7,0.7,3,31,1,0,36,11,6,15,10,21,63,2,4,11,0,0,33,21,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Gabriel Martinelli",2,220,1,0,1,1,0,0,0.8,0.8,0.1,0.9,7,5,10,0.41,0,0.41,0.41,0.41,0.32,0.05,0.37,0.32,1,5,3,60,2.05,1.23,0.2,0.33,15.5,23,39,59,0.1,0.1,-0.1,2,2,1,0,5,3,3,3,0,3,3,0,1,3,0,6,1,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Mikel Merino",3,328,1,0,1,1,0,0,0.3,0.3,0.1,0.5,6,14,13,0.27,0,0.27,0.27,0.27,0.09,0.04,0.13,0.09,1,4,2,50,1.1,0.55,0.25,0.5,7.5,99,127,78,0.1,0.2,-0.1,3,12,5,0,14,7,2,6,3,10,5,0,6,6,0,3,5,10,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Cristhian Mosquera",2,294,0,0,0,0,0,0,0,0,0.1,0.1,2,6,1,0,0,0,0,0,0,0.02,0.02,0,0,0,0,NA,0,0,NA,NA,NA,179,198,90.4,0.1,0.1,-0.1,1,5,0,0,6,8,6,3,5,13,13,0,0,0,1,0,4,6,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Ethan Nwaneri",0,168,0,0,0,0,0,0,0.2,0.2,0,0.3,7,13,6,0,0,0,0,0,0.12,0.02,0.15,0.12,0,6,0,0,3.21,0,0,NA,20.2,78,88,88.6,0,0.1,0,1,8,2,0,13,1,0,4,0,1,1,0,2,0,0,2,1,3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Christian Nørgaard",0,15,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,0,0,0,0,0,0,0.31,0,0.31,0.31,0,1,1,100,6,6,0,0,20.6,5,7,71.4,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,2,1,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","David Raya",10,900,0,0,0,0,0,0,0,0,0.1,0.1,0,4,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,NA,0,0,NA,NA,NA,251,356,70.5,0.1,0.1,-0.1,1,24,1,0,4,0,0,0,0,0,7,1,0,1,0,0,2,0,100,3,0.3,19,16,84.2,7,70,0,0,0,0,NA
"Arsenal","Declan Rice",9,804,2,2,4,2,0,0,0.9,0.9,1.7,2.6,25,64,21,0.22,0.22,0.45,0.22,0.45,0.11,0.18,0.29,0.11,2,9,3,33.3,1.01,0.34,0.22,0.67,20.6,548,648,84.6,1.7,2,0.3,16,50,9,2,64,15,11,8,8,23,15,0,8,0,0,52,13,6,68.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Bukayo Saka",7,591,2,0,2,1,1,1,1.9,1.1,1.6,2.7,29,13,83,0.3,0,0.3,0.15,0.15,0.29,0.24,0.53,0.17,2,13,5,38.5,1.98,0.76,0.08,0.2,19.3,167,238,70.2,1.6,2.1,-1.6,15,2,12,2,13,10,4,10,1,11,2,1,9,16,6,35,4,6,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","William Saliba",8,634,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,33,3,0,0,0,0,0,0.01,0.01,0.02,0.01,0,1,0,0,0.14,0,0,NA,8.5,596,635,93.9,0.1,0.4,-0.1,1,29,1,0,33,10,4,4,3,13,33,0,6,4,0,2,20,10,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Jurriën Timber",9,792,2,1,3,2,0,0,2,2,0.6,2.5,14,53,41,0.23,0.11,0.34,0.23,0.34,0.22,0.07,0.29,0.22,2,11,5,45.5,1.25,0.57,0.18,0.4,9.1,362,428,84.6,0.6,0.7,0.4,11,40,14,1,53,31,16,9,6,37,25,0,12,12,0,14,7,9,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Leandro Trossard",6,553,1,2,3,1,0,0,1.7,1.7,0.6,2.4,16,21,60,0.16,0.33,0.49,0.16,0.49,0.28,0.11,0.38,0.28,1,14,3,21.4,2.28,0.49,0.07,0.33,10.7,161,234,68.8,0.6,0.8,1.4,8,12,11,2,21,4,3,5,4,8,2,0,3,7,2,23,2,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Ben White",1,70,0,0,0,0,0,0,0,0,0,0.1,1,4,0,0,0,0,0,0,0.02,0.06,0.07,0.02,0,1,0,0,1.29,0,0,NA,29.2,21,27,77.8,0,0,0,1,5,0,0,4,2,1,2,1,3,4,0,2,0,0,1,2,1,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Martín Zubimendi",9,847,2,0,2,2,0,0,0.3,0.3,0.7,0.9,9,57,8,0.21,0,0.21,0.21,0.21,0.03,0.07,0.1,0.03,2,6,2,33.3,0.64,0.21,0.33,1,18.8,558,631,88.4,0.7,0.9,-0.7,7,47,6,0,57,18,10,13,11,29,16,1,13,1,0,3,16,8,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Martin Ødegaard",4,203,0,1,1,0,0,0,0.1,0.1,0.5,0.6,10,26,5,0,0.44,0.44,0,0.44,0.06,0.2,0.27,0.06,0,4,1,25,1.77,0.44,0,0,21.7,111,140,79.3,0.5,0.8,0.5,3,19,9,0,26,3,1,0,1,4,5,0,2,3,0,5,1,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Ross Barkley",0,65,0,0,0,0,0,0,0.2,0.2,0,0.3,3,6,3,0,0,0,0,0,0.3,0.06,0.37,0.3,0,3,1,33.3,4.15,1.38,0,0,16.2,21,24,87.5,0,0,0,1,2,1,0,6,1,1,1,0,1,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Marco Bizot",2,180,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,46,67,68.7,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,NA,3,1.5,7,4,71.4,1,50,1,1,0,0,0
"Aston Villa","Lamare Bogarde",3,281,0,0,0,0,0,0,0,0,0,0,3,8,2,0,0,0,0,0,0,0.01,0.01,0,0,0,0,NA,0,0,NA,NA,NA,148,157,94.3,0,0.1,0,2,14,1,0,8,4,3,2,0,4,3,1,6,9,0,0,3,5,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Emi Buendía",3,357,2,2,4,2,0,0,0.7,0.7,0.5,1.2,12,24,13,0.5,0.5,1.01,0.5,1.01,0.18,0.12,0.3,0.18,2,12,2,16.7,3.03,0.5,0.17,1,20.9,117,145,80.7,0.5,0.7,1.5,7,14,9,0,24,12,8,10,1,13,7,0,11,6,0,2,4,9,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Matty Cash",10,876,2,0,2,2,0,0,0.2,0.2,0.7,0.9,15,38,44,0.21,0,0.21,0.21,0.21,0.02,0.07,0.09,0.02,2,10,4,40,1.03,0.41,0.2,0.5,28.5,417,533,78.2,0.7,0.7,-0.7,8,39,7,2,38,16,9,13,8,24,34,1,9,10,2,45,8,10,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Lucas Digne",9,728,0,2,2,0,0,0,0.3,0.3,0.7,1,10,17,56,0,0.25,0.25,0,0.25,0.04,0.09,0.13,0.04,0,5,2,40,0.62,0.25,0,0,20.2,272,374,72.7,0.7,1.1,1.3,9,15,9,5,17,14,9,3,4,18,25,0,7,5,2,35,9,8,52.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Harvey Elliott",1,98,0,0,0,0,0,0,0.2,0.2,0,0.2,3,5,11,0,0,0,0,0,0.17,0,0.17,0.17,0,3,0,0,2.76,0,0,NA,15.3,53,62,85.5,0,0.1,0,0,6,1,1,5,0,0,4,0,0,1,0,0,2,0,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Evann Guessand",5,418,0,0,0,0,0,0,0.4,0.4,0,0.4,11,8,26,0,0,0,0,0,0.08,0.01,0.09,0.08,0,3,2,66.7,0.65,0.43,0,0,14.8,58,83,69.9,0,0.5,0,1,2,4,0,8,15,9,9,0,15,7,0,8,8,0,10,4,5,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Boubacar Kamara",7,565,0,2,2,0,0,0,0.1,0.1,0.4,0.5,7,38,2,0,0.32,0.32,0,0.32,0.01,0.07,0.08,0.01,0,2,1,50,0.32,0.16,0,0,12,304,339,89.7,0.4,0.4,1.6,6,37,5,0,38,14,7,7,6,20,11,1,9,13,0,0,19,6,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Ezri Konsa",9,785,0,0,0,0,0,0,0,0,0,0.1,5,28,3,0,0,0,0,0,0.01,0,0.01,0.01,0,1,1,100,0.11,0.11,0,0,11.1,543,573,94.8,0,0.1,0,1,37,1,0,28,4,2,14,6,10,34,1,5,11,0,4,8,7,53.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Victor Lindelöf",0,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,9,11,81.8,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Ian Maatsen",1,178,0,0,0,0,0,0,0.2,0.2,0.3,0.5,8,19,17,0,0,0,0,0,0.1,0.14,0.24,0.1,0,3,0,0,1.52,0,0,NA,20.9,130,159,81.8,0.3,0.2,-0.3,5,16,4,1,19,4,4,0,2,6,12,0,2,2,1,16,5,3,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Donyell Malen",3,331,2,0,2,2,0,0,0.8,0.8,0.2,1,8,7,18,0.54,0,0.54,0.54,0.54,0.23,0.05,0.28,0.23,2,10,3,30,2.72,0.82,0.2,0.67,14.9,46,61,75.4,0.2,0.1,-0.2,3,4,2,0,7,3,3,2,0,3,3,0,1,2,1,3,2,1,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Emiliano Martínez",8,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,262,334,78.4,0,0,0,0,7,2,0,0,0,0,0,0,0,5,2,0,4,0,0,1,0,100,7,0.87,23,16,69.6,2,25,0,0,0,0,NA
"Aston Villa","John McGinn",10,767,1,0,1,1,0,0,0.9,0.9,0.9,1.8,11,35,25,0.12,0,0.12,0.12,0.12,0.11,0.11,0.21,0.11,1,10,2,20,1.17,0.23,0.1,0.5,21.6,238,309,77,0.9,1,-0.9,9,15,13,7,35,12,8,7,7,19,4,0,11,16,0,29,4,8,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Tyrone Mings",6,498,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,27,3,0,0,0,0,0,0.05,0.02,0.07,0.05,0,3,0,0,0.54,0,0,NA,8.6,311,348,89.4,0.1,0.1,-0.1,3,29,1,0,27,2,1,6,4,6,31,0,3,4,0,1,21,13,61.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Amadou Onana",5,415,0,0,0,0,0,0,0.2,0.2,0,0.2,3,19,2,0,0,0,0,0,0.05,0,0.05,0.05,0,2,1,50,0.43,0.22,0,0,24,177,201,88.1,0,0.1,0,1,14,3,0,19,12,6,9,7,19,13,0,4,8,0,0,7,5,58.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Bradley Paul Burrowes",0,17,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,3,8,37.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Morgan Rogers",10,891,1,2,3,1,0,0,0.7,0.7,1.1,1.8,14,28,55,0.1,0.2,0.3,0.1,0.3,0.07,0.11,0.18,0.07,1,11,6,54.5,1.11,0.61,0.09,0.17,18.7,188,267,70.4,1.1,0.9,0.9,9,14,9,0,28,11,6,6,4,15,7,0,8,12,1,8,7,11,38.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Jadon Sancho",0,71,0,0,0,0,0,0,0.3,0.3,0.1,0.4,7,7,16,0,0,0,0,0,0.42,0.1,0.52,0.42,0,4,2,50,5.07,2.54,0,0,13.5,42,49,85.7,0.1,0.1,-0.1,1,0,5,0,7,0,0,0,0,0,2,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Youri Tielemans",4,315,0,0,0,0,0,0,0.1,0.1,0.2,0.3,8,21,10,0,0,0,0,0,0.04,0.05,0.09,0.04,0,5,1,20,1.43,0.29,0,0,18.3,195,235,83,0.2,0.4,-0.2,4,25,1,0,21,5,4,4,1,6,2,0,6,3,0,7,2,4,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
